iter	Passed	Remaining
0	1	131
1	2	108
2	2	91
3	3	79
4	3	73
5	4	69
6	5	66
7	5	64
8	6	62
9	6	60
10	7	59
11	7	57
12	8	56
13	8	54
14	9	53
15	10	52
16	10	51
17	11	50
18	11	49
19	12	48
20	12	47
21	13	47
22	13	46
23	14	46
24	15	46
25	15	45
26	16	44
27	16	43
28	17	42
29	17	41
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	22	35
39	23	35
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	29	27
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	39	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	56	0
99	57	0
